ID,master_id,order_channel,last_order_channel,first_order_date,last_order_date,last_order_date_online,last_order_date_offline,order_num_total_ever_online,order_num_total_ever_offline,customer_value_total_ever_offline,customer_value_total_ever_online,interested_in_categories_12,order_num_total,customer_value_total
0,cc294636-19f0-11eb-8d74-000d3a38a36f,Android App,Offline,2020-10-30,2021-02-26,2021-02-21,2021-02-26,4,1,"139,99","799,38",[KADIN],5,"939,37"
1,f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,Android App,Mobile,2017-02-08,2021-02-16,2021-02-16,2020-01-10,19,2,"159,97","1853,58","[ERKEK,  COCUK,  KADIN,  AKTIFSPOR]",21,"2013,55"
10,ae608ece-c9d8-11ea-a31e-000d3a38a36f,Ios App,Offline,2020-07-19,2020-07-25,2020-07-19,2020-07-25,1,1,"74,99","39,99","[AKTIFCOCUK,  COCUK,  KADIN]",2,"114,97999999999999"
100,b74c85fa-43a0-11eb-806e-000d3a38a36f,Android App,Offline,2020-02-22,2021-03-03,2020-12-21,2021-03-03,6,4,"334,96","564,88",[COCUK],10,"899,8399999999999"
1000,04064990-a414-11e9-a2fc-000d3a38a36f,Android App,Android App,2019-04-12,2020-07-30,2020-07-30,2020-03-10,1,4,"269,96","84,99",[ERKEK],5,"354,95"
10000,bd59f2d2-4e5c-11ea-99ba-000d3a38a36f,Android App,Android App,2019-08-07,2020-05-31,2020-05-31,2019-11-09,1,2,"59,98","157,49",[AKTIFSPOR],3,"217,47"
10001,57fd74a4-b577-11ea-a78c-000d3a38a36f,Android App,Offline,2020-06-23,2020-10-05,2020-08-26,2020-10-05,2,1,"109,99","389,95","[ERKEK,  KADIN,  AKTIFSPOR]",3,"499,94"
10002,4480d882-38f2-11ea-85d6-000d3a38a36f,Mobile,Mobile,2019-11-17,2021-01-05,2021-01-05,2019-11-17,2,1,"192,96","267,47",[KADIN],3,"460,43000000000006"
10003,5ac4396e-9f8f-11ea-80cd-000d3a38a36f,Android App,Offline,2020-05-27,2020-12-10,2020-05-27,2020-12-10,1,1,"311,23","89,99",[ERKEK],2,"401,22"
10004,75fd907e-bbb7-11ea-a0c9-000d3a38a36f,Desktop,Desktop,2020-06-30,2020-07-07,2020-07-07,2020-06-30,2,1,"130,49","379,96","[ERKEK,  KADIN,  AKTIFSPOR]",3,"510,45"
10005,6bbfa164-4cb4-11ea-a626-000d3a38a36f,Android App,Android App,2019-10-05,2021-03-26,2021-03-26,2020-03-11,3,3,"319,96","252,97","[COCUK,  KADIN,  AKTIFSPOR]",6,"572,93"
10006,ff3414d8-53c7-11ea-abe0-000d3a38a36f,Mobile,Mobile,2020-01-23,2021-05-21,2021-05-21,2021-04-29,1,3,"687,43",68,"[AKTIFCOCUK,  KADIN]",4,"755,43"
10007,76108eea-a790-11e9-a2fc-000d3a38a36f,Android App,Android App,2015-02-26,2021-01-25,2021-01-25,2020-03-08,13,2,"250,71","2038,2",[KADIN],15,"2288,91"
10008,8f8c81b2-b005-11e9-9757-000d3a38a36f,Android App,Offline,2019-02-01,2021-05-17,2019-04-01,2021-05-17,1,6,"570,81","169,49",[COCUK],7,"740,3"
10009,373651a8-a9d6-11e9-a2fc-000d3a38a36f,Desktop,Offline,2016-04-19,2020-09-08,2017-08-02,2020-09-08,2,3,"320,46","249,94","[ERKEK,  KADIN]",5,"570,4"
1001,71313678-b018-11e9-9757-000d3a38a36f,Desktop,Offline,2019-02-25,2020-07-18,2020-04-01,2020-07-18,2,3,"260,71","181,48","[AKTIFCOCUK,  COCUK]",5,"442,18999999999994"
10010,9d12ef30-1ba6-11ea-ac4f-000d3a38a36f,Android App,Android App,2019-09-03,2021-03-12,2021-03-12,2020-06-13,7,2,"235,72","1543,66","[ERKEK,  COCUK,  KADIN,  AKTIFSPOR]",9,"1779,38"
10011,0e44b5fc-aa24-11e9-a2fc-000d3a38a36f,Android App,Android App,2016-06-30,2020-12-23,2020-12-23,2020-01-24,12,3,"309,96","1902,55","[ERKEK,  AKTIFSPOR]",15,"2212,5099999999998"
10012,e0c01bf2-b0eb-11e9-9757-000d3a38a36f,Android App,Offline,2019-11-30,2021-03-04,2019-11-30,2021-03-04,1,1,"140,87","139,99",[KADIN],2,"280,86"
10013,cf6565ee-a7ed-11e9-a2fc-000d3a38a36f,Desktop,Offline,2015-07-01,2021-04-07,2015-07-01,2021-04-07,2,4,"610,75",138,[AKTIFSPOR],6,"748,75"
10014,d6790f0c-2b5f-11ea-9d27-000d3a38a36f,Android App,Mobile,2019-11-30,2020-12-25,2020-12-25,2019-11-30,6,2,"361,94","436,83",[KADIN],8,"798,77"
10015,f109e1a4-4cb4-11ea-a626-000d3a38a36f,Mobile,Mobile,2019-07-26,2021-05-29,2021-05-29,2019-08-18,1,2,"109,97","119,25",[],3,"229,22"
10016,076199ba-2b13-11ea-9d27-000d3a38a36f,Desktop,Offline,2019-04-11,2020-11-04,2020-03-25,2020-11-04,1,6,"1125,81","207,96",[AKTIFSPOR],7,"1333,77"
10017,e0d17a2c-a42b-11e9-a2fc-000d3a38a36f,Ios App,Ios App,2019-04-15,2020-09-15,2020-09-15,2019-04-15,2,1,"29,99","264,98",[ERKEK],3,"294,97"
