gender;SeniorCitizen;tenure;PhoneService;Contract;PaymentMethod;MonthlyCharges;TotalCharges;Churn
Female;0;1;No;Month-to-month;Electronic check;30;30;No
Male;0;34;Yes;One year;Mailed check;57;1890;No
Male;0;2;Yes;Month-to-month;Mailed check;54;108;Yes
Male;0;45;No;One year;Bank transfer (automatic);42;1841;No
Female;0;2;Yes;Month-to-month;Electronic check;71;152;Yes
Female;0;8;Yes;Month-to-month;Electronic check;100;821;Yes
Male;0;22;Yes;Month-to-month;Credit card (automatic);89;1949;No
Female;0;10;No;Month-to-month;Mailed check;30;302;No
Female;0;28;Yes;Month-to-month;Electronic check;105;3046;Yes
Male;0;62;Yes;One year;Bank transfer (automatic);56;3488;No
Male;0;13;Yes;Month-to-month;Mailed check;50;587;No
Male;0;16;Yes;Two year;Credit card (automatic);19;327;No
Male;0;58;Yes;One year;Credit card (automatic);100;5681;No
Male;0;49;Yes;Month-to-month;Bank transfer (automatic);104;5036;Yes
Male;0;25;Yes;Month-to-month;Electronic check;106;2686;No
Female;0;69;Yes;Two year;Credit card (automatic);113;7895;No
Female;0;52;Yes;One year;Mailed check;21;1023;No
Male;0;71;Yes;Two year;Bank transfer (automatic);107;7382;No
Female;0;10;Yes;Month-to-month;Credit card (automatic);55;528;Yes
Female;0;21;Yes;Month-to-month;Electronic check;90;1863;No
Male;1;1;No;Month-to-month;Electronic check;40;40;Yes
Male;0;12;Yes;One year;Bank transfer (automatic);20;202;No
Male;0;1;Yes;Month-to-month;Mailed check;20;20;Yes
Female;0;58;Yes;Two year;Credit card (automatic);60;3505;No
Male;0;49;Yes;Month-to-month;Credit card (automatic);60;2970;No
Female;0;30;Yes;Month-to-month;Bank transfer (automatic);55;1531;No
Male;0;47;Yes;Month-to-month;Electronic check;99;4749;Yes
Male;0;1;No;Month-to-month;Electronic check;30;30;Yes
Male;0;72;Yes;Two year;Credit card (automatic);90;6369;No
Female;0;17;Yes;Month-to-month;Mailed check;65;1093;Yes
