Customer ID,Recency,Tenure,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,TenureScore,RFM_SCORE,Segment,BasketSize
12346.0,165,357,4,73,2,4,1,4,241,At_Risk,18.25
12347.0,3,40,2,379,5,2,4,1,524,Potential_Loyalists,189.5
12348.0,74,74,1,74,2,1,1,1,211,Hibernating,74.0
12349.0,43,225,3,738,3,3,5,3,335,Need_Attention,246.0
12351.0,11,11,1,92,5,1,2,1,512,New_Customers,92.0
12352.0,11,28,2,112,5,2,2,1,522,Potential_Loyalists,56.0
12353.0,44,44,1,65,3,1,1,1,311,About_to_Sleep,65.0
12355.0,203,203,1,228,1,1,3,2,113,Hibernating,228.0
12356.0,16,60,3,1593,4,3,5,1,435,Potential_Loyalists,531.0
12357.0,24,24,2,4314,4,2,5,1,425,Potential_Loyalists,2157.0
12358.0,11,367,3,713,5,3,5,5,535,Potential_Loyalists,237.66666666666666
12359.0,61,370,5,724,3,4,5,5,345,Loyal_Customers,144.8
12360.0,28,291,3,373,4,3,4,4,434,Potential_Loyalists,124.33333333333333
12361.0,98,318,2,96,2,2,2,4,222,Hibernating,48.0
12362.0,374,374,1,130,1,1,2,5,112,Hibernating,130.0
12366.0,269,269,1,162,1,1,3,3,113,Hibernating,162.0
12368.0,264,264,1,228,1,1,3,3,113,Hibernating,228.0
12369.0,49,277,3,473,3,3,4,3,334,Need_Attention,157.66666666666666
12370.0,260,304,2,148,1,2,2,4,122,Hibernating,74.0
12371.0,45,281,3,677,3,3,5,3,335,Need_Attention,225.66666666666666
12373.0,260,309,2,298,1,2,3,4,123,Hibernating,149.0
12374.0,57,224,2,549,3,2,4,3,324,About_to_Sleep,274.5
12376.0,25,53,2,214,4,2,3,1,423,Potential_Loyalists,107.0
12377.0,17,225,2,486,4,2,4,3,424,Potential_Loyalists,243.0
12378.0,198,198,1,389,1,1,4,2,114,Hibernating,389.0
12379.0,58,170,2,212,3,2,3,2,323,About_to_Sleep,106.0
12380.0,101,298,4,1253,2,4,5,4,245,At_Risk,313.25
12385.0,15,15,1,609,5,1,4,1,514,New_Customers,609.0
12386.0,2,2,1,17,5,1,1,1,511,New_Customers,17.0
12387.0,51,51,1,53,3,1,1,1,311,About_to_Sleep,53.0
