,Weekly Sales Prediction,Date
0,10746.196,2015-53
1,9565.947,2016-1
2,8410.361,2016-2
3,7830.451,2016-3
4,7970.784,2016-4
5,8572.446,2016-5
6,10118.845,2016-6
7,10270.415,2016-7
8,9916.105,2016-8
9,9243.381,2016-9
10,10019.207,2016-10
11,11708.28,2016-11
12,10618.256,2016-12
13,9327.411,2016-13
14,8585.903,2016-14
15,8569.058,2016-15
16,9342.993,2016-16
17,9430.376,2016-17
18,8767.949,2016-18
19,9122.52,2016-19
20,9126.049,2016-20
21,9676.651,2016-21
22,11741.584,2016-22
23,12393.524,2016-23
24,12628.453,2016-24
25,11816.803,2016-25
26,11901.5,2016-26
27,11563.823,2016-27
28,11812.406,2016-28
29,11893.814,2016-29
30,12073.162,2016-30
31,13424.499,2016-31
32,13131.92,2016-32
33,13356.08,2016-33
34,13732.806,2016-34
35,14571.978,2016-35
36,17449.854,2016-36
37,19088.27,2016-37
38,18856.938,2016-38
39,17583.38,2016-39
40,19464.941,2016-40
41,18504.53,2016-41
42,16553.63,2016-42
43,16830.145,2016-43
44,16722.896,2016-44
45,19218.508,2016-45
46,23345.086,2016-46
47,23885.955,2016-47
48,26151.018,2016-48
49,26671.46,2016-49
50,25251.816,2016-50
51,19514.006,2016-51
52,14384.62,2016-52
53,10743.025,2017-1
54,9307.436,2017-2
55,9168.574,2017-3
56,10396.218,2017-4
57,10929.764,2017-5
58,11356.626,2017-6
59,11229.113,2017-7
60,11403.769,2017-8
61,11448.47,2017-9
62,11217.257,2017-10
63,11052.702,2017-11
64,11020.559,2017-12
65,12966.747,2017-13
66,13304.205,2017-14
67,12140.196,2017-15
68,10101.364,2017-16
69,9275.912,2017-17
70,8700.056,2017-18
71,9338.924,2017-19
72,10304.051,2017-20
73,10891.8545,2017-21
74,10585.306,2017-22
75,10846.066,2017-23
76,10969.42,2017-24
77,11880.6045,2017-25
78,11924.885,2017-26
79,12921.539,2017-27
80,13508.283,2017-28
81,13211.865,2017-29
82,13284.658,2017-30
83,13241.391,2017-31
84,12832.185,2017-32
85,13575.402,2017-33
86,16040.553,2017-34
87,18411.48,2017-35
88,19307.17,2017-36
89,19668.566,2017-37
90,20467.111,2017-38
91,22239.13,2017-39
92,19997.156,2017-40
93,19943.506,2017-41
94,20627.797,2017-42
95,24267.42,2017-43
96,22814.533,2017-44
97,26423.246,2017-45
98,27904.646,2017-46
99,31859.664,2017-47
100,30544.078,2017-48
101,30699.611,2017-49
102,28778.82,2017-50
103,21761.865,2017-51
104,14967.904,2017-52
