,Order_ID,Order_Date,Customer_ID,State,Product_ID,Product_Name,Quantity,Price
0,CA-2017-137456,2017-12-21,RB-19465,Nebraska,FUR-FU-10004351,Staple-based wall hangings,2,5.844
1,CA-2017-158967,2017-12-10,BT-11680,Florida,FUR-FU-10004351,Staple-based wall hangings,3,3.8960000000000004
2,CA-2017-118017,2017-12-03,LC-16870,Colorado,OFF-AR-10003856,Newell 344,6,1.39
3,CA-2017-118017,2017-12-03,LC-16870,Colorado,TEC-AC-10002006,Memorex Micro Travel Drive 16 GB,6,10.66
4,CA-2017-118017,2017-12-03,LC-16870,Colorado,TEC-AC-10002006,Memorex Micro Travel Drive 16 GB,8,7.995
5,CA-2017-118017,2017-12-03,LC-16870,Colorado,OFF-PA-10002246,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",2,7.74
6,CA-2017-118017,2017-12-03,LC-16870,Colorado,OFF-SU-10004782,"Elite 5"" Scissors",7,4.828571428571428
7,CA-2017-118017,2017-12-03,LC-16870,Colorado,FUR-FU-10004351,Staple-based wall hangings,3,3.8960000000000004
8,CA-2017-118017,2017-12-03,LC-16870,Colorado,FUR-AY-10004270,"Eldon Image Series Desk Accessories, Burgundy",5,1.3376
9,CA-2017-118017,2017-12-03,LC-16870,Colorado,FUR-FU-10004053,DAX Two-Tone Silver Metal Document Frame,1,60.72
10,US-2017-105998,2017-11-03,CR-12580,California,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,5,15.98
11,US-2017-105998,2017-11-03,CR-12580,California,FUR-TA-10001095,Chromcraft Round Conference Tables,12,31.953166666666664
12,CA-2017-105921,2017-08-14,JM-15250,California,FUR-TA-10001095,Chromcraft Round Conference Tables,3,127.81266666666666
13,CA-2017-133046,2017-07-27,DK-13375,Washington,FUR-FU-10004351,Staple-based wall hangings,3,3.8960000000000004
14,CA-2017-133046,2017-07-27,DK-13375,Washington,OFF-PA-10003883,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",4,4.9125
15,CA-2017-133046,2017-07-27,DK-13375,Washington,OFF-PA-10002787,Xerox 227,2,3.24
16,CA-2017-133046,2017-07-27,DK-13375,Washington,TEC-AC-10000991,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,5,18.796
17,CA-2017-119284,2017-06-15,TS-21205,Tennessee,TEC-PH-10001051,HTC One,3,106.656
18,CA-2017-119284,2017-06-15,TS-21205,Tennessee,FUR-FU-10004351,Staple-based wall hangings,4,2.922
