,0,1,2,3,4,5,6,7,8
0,frozenset({'FUR-AZ-10004270'},,,,,,,,
1,frozenset({'FUR-CH-10001190'},,,,,,,,
2,frozenset({'FUR-CH-10002073'},,,,,,,,
3,frozenset({'FUR-CH-10002372'},,,,,,,,
4,frozenset({'FUR-CH-10003833'},,,,,,,,
5,frozenset({'FUR-FU-10000206'},,,,,,,,
6,frozenset({'FUR-FU-10001986'},,,,,,,,
7,frozenset({'FUR-FU-10003268'},,,,,,,,
8,frozenset({'FUR-FU-10003799'},,,,,,,,
9,frozenset({'FUR-FU-10004666'},,,,,,,,
10,frozenset({'FUR-TA-10001039'},,,,,,,,
11,frozenset({'FUR-TA-10001307'},,,,,,,,
12,frozenset({'FUR-TA-10002645'},,,,,,,,
13,frozenset({'OFF-AP-10000696'},,,,,,,,
14,frozenset({'OFF-AP-10001563'},,,,,,,,
15,frozenset({'OFF-AP-10002350'},,,,,,,,
16,frozenset({'OFF-AP-10003849'},,,,,,,,
17,frozenset({'OFF-AP-10004052'},,,,,,,,
18,frozenset({'OFF-AP-10004249'},,,,,,,,
19,frozenset({'OFF-AP-10004708'},,,,,,,,
20,frozenset({'OFF-AR-10000122'},,,,,,,,
21,frozenset({'OFF-AR-10000634'},,,,,,,,
22,frozenset({'OFF-AR-10000657'},,,,,,,,
23,frozenset({'OFF-AR-10001374'},,,,,,,,
24,frozenset({'OFF-AR-10001419'},,,,,,,,
25,frozenset({'OFF-AR-10001953'},,,,,,,,
26,frozenset({'OFF-AR-10003183'},,,,,,,,
27,frozenset({'OFF-AR-10003481'},,,,,,,,
28,frozenset({'OFF-AR-10004685'},,,,,,,,
29,frozenset({'OFF-AY-10000477'},,,,,,,,
30,frozenset({'OFF-AY-10002377'},,,,,,,,
31,frozenset({'OFF-BI-10000174'},,,,,,,,
32,frozenset({'OFF-BI-10000632'},,,,,,,,
33,frozenset({'OFF-BI-10001308'},,,,,,,,
34,frozenset({'OFF-BI-10001359'},,,,,,,,
35,frozenset({'OFF-BI-10002012'},,,,,,,,
36,frozenset({'OFF-BI-10002353'},,,,,,,,
37,frozenset({'OFF-BI-10002437'},,,,,,,,
38,frozenset({'OFF-BI-10002571'},,,,,,,,
39,frozenset({'OFF-BI-10002609'},,,,,,,,
40,frozenset({'OFF-BI-10002854'},,,,,,,,
41,frozenset({'OFF-BI-10003350'},,,,,,,,
42,frozenset({'OFF-BI-10003656'},,,,,,,,
43,frozenset({'OFF-BI-10003676'},,,,,,,,
44,frozenset({'OFF-BI-10004209'},,,,,,,,
45,frozenset({'OFF-BI-10004519'},,,,,,,,
46,frozenset({'OFF-EN-10003798'},,,,,,,,
47,frozenset({'OFF-EN-10003845'},,,,,,,,
48,frozenset({'OFF-EN-10004483'},,,,,,,,
49,frozenset({'OFF-EN-10004846'},,,,,,,,
50,frozenset({'OFF-FA-10003485'},,,,,,,,
51,frozenset({'OFF-LA-10001771'},,,,,,,,
52,frozenset({'OFF-PA-10000675'},,,,,,,,
53,frozenset({'OFF-PA-10000726'},,,,,,,,
54,frozenset({'OFF-PA-10000809'},,,,,,,,
55,frozenset({'OFF-PA-10001804'},,,,,,,,
56,frozenset({'OFF-PA-10001838'},,,,,,,,
57,frozenset({'OFF-PA-10001870'},,,,,,,,
58,frozenset({'OFF-PA-10002005'},,,,,,,,
59,frozenset({'OFF-PA-10002036'},,,,,,,,
60,frozenset({'OFF-PA-10002120'},,,,,,,,
61,frozenset({'OFF-PA-10002666'},,,,,,,,
62,frozenset({'OFF-PA-10004675'},,,,,,,,
63,frozenset({'OFF-PA-10004735'},,,,,,,,
64,frozenset({'OFF-ST-10000419'},,,,,,,,
65,frozenset({'OFF-ST-10000642'},,,,,,,,
66,frozenset({'OFF-ST-10000760'},,,,,,,,
67,frozenset({'OFF-ST-10001963'},,,,,,,,
68,frozenset({'OFF-ST-10002301'},,,,,,,,
69,frozenset({'OFF-ST-10002486'},,,,,,,,
70,frozenset({'OFF-ST-10003208'},,,,,,,,
71,frozenset({'OFF-ST-10003816'},,,,,,,,
72,frozenset({'OFF-ST-10003996'},,,,,,,,
73,frozenset({'OFF-ST-10004507'},,,,,,,,
74,frozenset({'OFF-SU-10003567'},,,,,,,,
75,frozenset({'OFF-SU-10004231'},,,,,,,,
76,frozenset({'OFF-SU-10004884'},,,,,,,,
77,frozenset({'TEC-AC-10002473'},,,,,,,,
78,frozenset({'TEC-AC-10003038'},,,,,,,,
79,frozenset({'TEC-AC-10003116'},,,,,,,,
80,frozenset({'TEC-AC-10003709'},,,,,,,,
81,frozenset({'TEC-AC-10004568'},,,,,,,,
82,frozenset({'TEC-AC-10004877'},,,,,,,,
83,frozenset({'TEC-CO-10004202'},,,,,,,,
84,frozenset({'TEC-MA-10002412'},,,,,,,,
85,frozenset({'TEC-MA-10003626'},,,,,,,,
86,frozenset({'TEC-PH-10000011'},,,,,,,,
87,frozenset({'TEC-PH-10000307'},,,,,,,,
88,frozenset({'TEC-PH-10000702'},,,,,,,,
89,frozenset({'TEC-PH-10001557'},,,,,,,,
90,frozenset({'TEC-PH-10001760'},,,,,,,,
91,frozenset({'TEC-PH-10002293'},,,,,,,,
92,frozenset({'TEC-PH-10003589'},,,,,,,,
93,frozenset({'TEC-PH-10003800'},,,,,,,,
94,frozenset({'TEC-PH-10004434'},,,,,,,,
95,frozenset({'TEC-PH-10004447'},,,,,,,,
96,frozenset({'TEC-PH-10004586'},,,,,,,,
97,frozenset({'FUR-FU-10001986','FUR-AZ-10004270'},,,,,,,
98,frozenset({'OFF-AR-10003183','FUR-AZ-10004270'},,,,,,,
99,frozenset({'OFF-FA-10003485','FUR-AZ-10004270'},,,,,,,
100,frozenset({'OFF-PA-10001804','FUR-AZ-10004270'},,,,,,,
101,frozenset({'TEC-MA-10002412','FUR-AZ-10004270'},,,,,,,
102,frozenset({'TEC-MA-10003626','FUR-AZ-10004270'},,,,,,,
103,frozenset({'FUR-FU-10004666','FUR-CH-10001190'},,,,,,,
104,frozenset({'FUR-CH-10001190','FUR-TA-10001039'},,,,,,,
105,frozenset({'FUR-CH-10001190','OFF-AP-10004052'},,,,,,,
106,frozenset({'FUR-CH-10001190','OFF-FA-10003485'},,,,,,,
107,frozenset({'FUR-CH-10001190','TEC-PH-10000702'},,,,,,,
108,frozenset({'FUR-CH-10002073','FUR-FU-10003268'},,,,,,,
109,frozenset({'FUR-CH-10002073','OFF-AP-10001563'},,,,,,,
110,frozenset({'OFF-BI-10001359','FUR-CH-10002073'},,,,,,,
111,frozenset({'FUR-CH-10002073','OFF-EN-10003845'},,,,,,,
112,frozenset({'OFF-FA-10003485','FUR-CH-10002073'},,,,,,,
113,frozenset({'OFF-ST-10000419','FUR-CH-10002073'},,,,,,,
114,frozenset({'TEC-AC-10003709','FUR-CH-10002073'},,,,,,,
115,frozenset({'FUR-CH-10002073','TEC-AC-10004877'},,,,,,,
116,frozenset({'OFF-FA-10003485','FUR-CH-10002372'},,,,,,,
117,frozenset({'OFF-PA-10000726','FUR-CH-10002372'},,,,,,,
118,frozenset({'FUR-CH-10003833','OFF-AR-10001419'},,,,,,,
119,frozenset({'OFF-AY-10000477','FUR-CH-10003833'},,,,,,,
120,frozenset({'FUR-CH-10003833','OFF-BI-10002571'},,,,,,,
121,frozenset({'OFF-BI-10004209','FUR-CH-10003833'},,,,,,,
122,frozenset({'OFF-FA-10003485','FUR-CH-10003833'},,,,,,,
123,frozenset({'OFF-ST-10001963','FUR-CH-10003833'},,,,,,,
124,frozenset({'FUR-CH-10003833','OFF-ST-10003996'},,,,,,,
125,frozenset({'TEC-AC-10004568','FUR-CH-10003833'},,,,,,,
126,frozenset({'OFF-BI-10002609','FUR-FU-10000206'},,,,,,,
127,frozenset({'OFF-BI-10003676','FUR-FU-10000206'},,,,,,,
128,frozenset({'FUR-FU-10000206','OFF-EN-10003798'},,,,,,,
129,frozenset({'OFF-FA-10003485','FUR-FU-10000206'},,,,,,,
130,frozenset({'FUR-FU-10000206','OFF-PA-10004735'},,,,,,,
131,frozenset({'OFF-ST-10000642','FUR-FU-10000206'},,,,,,,
132,frozenset({'TEC-PH-10003589','FUR-FU-10000206'},,,,,,,
133,frozenset({'OFF-AR-10003183','FUR-FU-10001986'},,,,,,,
134,frozenset({'FUR-FU-10001986','OFF-FA-10003485'},,,,,,,
135,frozenset({'FUR-FU-10001986','OFF-PA-10001804'},,,,,,,
136,frozenset({'TEC-MA-10002412','FUR-FU-10001986'},,,,,,,
137,frozenset({'FUR-FU-10001986','TEC-MA-10003626'},,,,,,,
138,frozenset({'FUR-FU-10003268','OFF-AP-10001563'},,,,,,,
139,frozenset({'OFF-BI-10001359','FUR-FU-10003268'},,,,,,,
140,frozenset({'FUR-FU-10003268','OFF-EN-10003845'},,,,,,,
141,frozenset({'OFF-FA-10003485','FUR-FU-10003268'},,,,,,,
142,frozenset({'TEC-AC-10003709','FUR-FU-10003268'},,,,,,,
143,frozenset({'OFF-FA-10003485','FUR-FU-10003799'},,,,,,,
144,frozenset({'FUR-FU-10004666','FUR-TA-10001039'},,,,,,,
145,frozenset({'FUR-FU-10004666','OFF-AP-10004052'},,,,,,,
146,frozenset({'FUR-FU-10004666','OFF-FA-10003485'},,,,,,,
147,frozenset({'FUR-FU-10004666','TEC-PH-10000702'},,,,,,,
148,frozenset({'OFF-AP-10004052','FUR-TA-10001039'},,,,,,,
149,frozenset({'OFF-BI-10002854','FUR-TA-10001039'},,,,,,,
150,frozenset({'OFF-FA-10003485','FUR-TA-10001039'},,,,,,,
151,frozenset({'OFF-ST-10003208','FUR-TA-10001039'},,,,,,,
152,frozenset({'TEC-PH-10000702','FUR-TA-10001039'},,,,,,,
153,frozenset({'TEC-PH-10004447','FUR-TA-10001039'},,,,,,,
154,frozenset({'FUR-TA-10001307','OFF-BI-10000174'},,,,,,,
155,frozenset({'FUR-TA-10001307','OFF-FA-10003485'},,,,,,,
156,frozenset({'FUR-TA-10001307','OFF-PA-10000675'},,,,,,,
157,frozenset({'FUR-TA-10001307','OFF-PA-10002666'},,,,,,,
158,frozenset({'FUR-TA-10001307','TEC-PH-10000011'},,,,,,,
159,frozenset({'FUR-TA-10002645','OFF-BI-10000632'},,,,,,,
160,frozenset({'OFF-FA-10003485','FUR-TA-10002645'},,,,,,,
161,frozenset({'TEC-AC-10002473','FUR-TA-10002645'},,,,,,,
162,frozenset({'OFF-FA-10003485','OFF-AP-10000696'},,,,,,,
163,frozenset({'OFF-AP-10000696','OFF-PA-10000809'},,,,,,,
164,frozenset({'OFF-AP-10000696','OFF-SU-10004231'},,,,,,,
165,frozenset({'OFF-BI-10001359','OFF-AP-10001563'},,,,,,,
166,frozenset({'OFF-AP-10001563','OFF-EN-10003845'},,,,,,,
167,frozenset({'OFF-FA-10003485','OFF-AP-10001563'},,,,,,,
168,frozenset({'TEC-AC-10003709','OFF-AP-10001563'},,,,,,,
169,frozenset({'OFF-AP-10002350','OFF-FA-10003485'},,,,,,,
170,frozenset({'OFF-BI-10003350','OFF-AP-10003849'},,,,,,,
171,frozenset({'OFF-FA-10003485','OFF-AP-10003849'},,,,,,,
172,frozenset({'TEC-CO-10004202','OFF-AP-10003849'},,,,,,,
