,Product_ID,Product_Name
335,OFF-BI-10001922,Storex Dura Pro Binders
1439,OFF-BI-10004364,Storex Dura Pro Binders
7488,OFF-AR-10004707,Staples in misc. colors
1020,OFF-AR-10001166,Staples in misc. colors
3575,OFF-AR-10004062,Staples in misc. colors
2383,OFF-AR-10003087,Staples in misc. colors
1856,OFF-AR-10003631,Staples in misc. colors
1248,OFF-AR-10002280,Staples in misc. colors
1039,OFF-AR-10004790,Staples in misc. colors
4958,OFF-FA-10003485,Staples
2387,OFF-FA-10001229,Staples
2059,OFF-FA-10002975,Staples
1703,OFF-FA-10001843,Staples
132,OFF-FA-10002780,Staples
1148,OFF-FA-10000735,Staples
1108,OFF-FA-10003495,Staples
1485,OFF-FA-10003021,Staples
647,OFF-FA-10003112,Staples
526,OFF-FA-10002815,Staples
239,FUR-FU-10004351,Staple-based wall hangings
952,FUR-FU-10001940,Staple-based wall hangings
2867,OFF-SU-10000946,Staple remover
480,OFF-SU-10001935,Staple remover
368,OFF-SU-10001225,Staple remover
1921,OFF-ST-10002562,Staple magnet
857,OFF-ST-10003221,Staple magnet
405,OFF-AP-10004249,Staple holder
4240,OFF-AP-10001366,Staple holder
2284,OFF-AP-10002222,Staple holder
3186,OFF-EN-10004773,Staple envelope
2911,OFF-EN-10003286,Staple envelope
162,OFF-EN-10001990,Staple envelope
1881,OFF-EN-10002621,Staple envelope
3936,OFF-EN-10001028,Staple envelope
1556,OFF-EN-10003134,Staple envelope
459,OFF-EN-10001415,Staple envelope
1125,OFF-EN-10001539,Staple envelope
896,OFF-EN-10001099,Staple envelope
4063,OFF-AR-10002766,Prang Drawing Pencil Set
1602,OFF-AR-10003251,Prang Drawing Pencil Set
5191,OFF-EN-10003448,"Peel & Seel Recycled Catalog Envelopes, Brown"
5651,OFF-EN-10002592,"Peel & Seel Recycled Catalog Envelopes, Brown"
6768,TEC-MA-10003230,Okidata C610n Printer
7294,TEC-MA-10001856,Okidata C610n Printer
1405,FUR-TA-10001039,KI Adjustable-Height Table
1129,FUR-TA-10004086,KI Adjustable-Height Table
1541,FUR-FU-10003981,Eldon Wave Desk Accessories
365,FUR-FU-10000023,Eldon Wave Desk Accessories
4999,OFF-PA-10002764,Easy-staple paper
4360,OFF-PA-10000565,Easy-staple paper
34,OFF-PA-10000249,Easy-staple paper
284,OFF-PA-10000474,Easy-staple paper
1747,OFF-PA-10004947,Easy-staple paper
1225,OFF-PA-10001685,Easy-staple paper
1083,OFF-PA-10003127,Easy-staple paper
1080,OFF-PA-10000349,Easy-staple paper
2531,OFF-BI-10000829,Avery Non-Stick Binders
337,OFF-BI-10004140,Avery Non-Stick Binders
1989,OFF-EN-10000781,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
985,OFF-EN-10000461,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes"
