Sales,Weekly Sales Prediction
13462.7946,2015-1
1708.984,2015-2
1827.276,2015-3
358.522,2015-4
10314.516,2015-5
3378.582,2015-6
3545.134,2015-7
3253.514,2015-8
3416.3554,2015-9
7794.917,2015-10
2729.488,2015-11
18231.9866,2015-12
7555.746,2015-13
5529.816,2015-14
3344.06,2015-15
12471.884,2015-16
5277.7735,2015-17
11160.547,2015-18
5612.204,2015-19
5092.2455,2015-20
6030.097,2015-21
10580.208,2015-22
3619.474,2015-23
6608.238,2015-24
7445.001,2015-25
6691.653,2015-26
4148.744,2015-27
7025.851,2015-28
7046.083,2015-29
6791.639,2015-30
6488.108,2015-31
7254.2192000000005,2015-32
5511.004,2015-33
4478.07,2015-34
14751.068000000001,2015-35
9855.3,2015-36
10543.759,2015-37
23615.147999999997,2015-38
22125.144,2015-39
4266.842,2015-40
6466.8365,2015-41
7263.316,2015-42
7389.157,2015-43
10183.242,2015-44
24445.822,2015-45
16633.3232,2015-46
16088.327800000001,2015-47
13900.5875,2015-48
23046.274,2015-49
11188.56,2015-50
16439.98,2015-51
21324.8602,2015-52
7219.994,2015-53
4185.6539999999995,2016-1
2399.479,2016-2
3848.346,2016-3
5607.262,2016-4
14111.864000000001,2016-5
3912.017,2016-6
3475.992,2016-7
1367.838,2016-8
14950.429,2016-9
22184.762,2016-10
7515.183,2016-11
3739.864,2016-12
7494.319,2016-13
10254.047,2016-14
14973.249,2016-15
8293.219,2016-16
1689.8120000000001,2016-17
11311.609,2016-18
4076.232,2016-19
9920.937,2016-20
22631.647,2016-21
11734.712,2016-22
13764.721,2016-23
7768.278,2016-24
12405.568000000001,2016-25
6545.554,2016-26
9619.225,2016-27
5720.97,2016-28
7858.956,2016-29
12717.95,2016-30
3051.37,2016-31
7535.5505,2016-32
7658.496,2016-33
10556.9318,2016-34
21769.009,2016-35
19714.7696,2016-36
14877.136,2016-37
12738.172,2016-38
25858.350300000002,2016-39
10506.046,2016-40
7064.655000000001,2016-41
12814.734,2016-42
6317.425,2016-43
16935.6418,2016-44
22812.184,2016-45
12766.911,2016-46
25948.622,2016-47
22963.279,2016-48
25271.818,2016-49
26505.97,2016-50
21384.952,2016-51
7053.958,2016-52
8472.136,2017-1
8938.659,2017-2
15770.86,2017-3
5558.556,2017-4
7880.698,2017-5
3146.737,2017-6
6962.6053999999995,2017-7
6042.808,2017-8
4936.692,2017-9
6078.67,2017-10
10592.099,2017-11
27125.476,2017-12
16952.9938,2017-13
10955.3485,2017-14
4420.516,2017-15
8866.177,2017-16
5483.536599999999,2017-17
13201.1918,2017-18
13405.069,2017-19
10927.576,2017-20
5299.275,2017-21
9853.5164,2017-22
7782.87,2017-23
14545.5175,2017-24
7114.8099999999995,2017-25
15922.0322,2017-26
13091.864,2017-27
8644.263,2017-28
11722.321,2017-29
9438.918,2017-30
6122.798,2017-31
12347.668,2017-32
20272.34,2017-33
21094.18,2017-34
17054.443,2017-35
18582.845,2017-36
23552.725,2017-37
27575.668999999998,2017-38
8921.366,2017-39
19484.316,2017-40
16929.375,2017-41
27411.7552,2017-42
6423.353,2017-43
31325.571,2017-44
20571.872,2017-45
35344.423,2017-46
20087.249,2017-47
32354.57,2017-48
24006.958,2017-49
10495.963,2017-50
23662.364,2017-51
8977.8318,2017-52
