,Product_Name,Product_ID
0,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","['OFF-EN-10000461', 'OFF-EN-10000781', 'OFF-EN-10000781', 'OFF-EN-10000461', 'OFF-EN-10000461', 'OFF-EN-10000461', 'OFF-EN-10000461', 'OFF-EN-10000461', 'OFF-EN-10000461', 'OFF-EN-10000461']"
1,Avery Non-Stick Binders,"['OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10000829', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10000829', 'OFF-BI-10000829', 'OFF-BI-10004140', 'OFF-BI-10000829', 'OFF-BI-10000829', 'OFF-BI-10000829', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10004140', 'OFF-BI-10000829']"
2,Easy-staple paper,"['OFF-PA-10000474', 'OFF-PA-10000349', 'OFF-PA-10000474', 'OFF-PA-10001685', 'OFF-PA-10003127', 'OFF-PA-10001685', 'OFF-PA-10000249', 'OFF-PA-10000474', 'OFF-PA-10000565', 'OFF-PA-10000349', 'OFF-PA-10003127', 'OFF-PA-10000474', 'OFF-PA-10000474', 'OFF-PA-10000349', 'OFF-PA-10004947', 'OFF-PA-10000474', 'OFF-PA-10000474', 'OFF-PA-10002764', 'OFF-PA-10004947', 'OFF-PA-10003127', 'OFF-PA-10000249', 'OFF-PA-10003127', 'OFF-PA-10000349', 'OFF-PA-10000349', 'OFF-PA-10002764', 'OFF-PA-10000249', 'OFF-PA-10002764', 'OFF-PA-10000474', 'OFF-PA-10000349', 'OFF-PA-10000249', 'OFF-PA-10000565', 'OFF-PA-10000474', 'OFF-PA-10003127', 'OFF-PA-10000249', 'OFF-PA-10000349', 'OFF-PA-10000474', 'OFF-PA-10000349', 'OFF-PA-10004947', 'OFF-PA-10003127', 'OFF-PA-10000474', 'OFF-PA-10001685', 'OFF-PA-10000249', 'OFF-PA-10000349', 'OFF-PA-10001685', 'OFF-PA-10000474', 'OFF-PA-10001685']"
3,Eldon Wave Desk Accessories,"['FUR-FU-10000023', 'FUR-FU-10000023', 'FUR-FU-10003981', 'FUR-FU-10000023', 'FUR-FU-10003981', 'FUR-FU-10003981', 'FUR-FU-10000023', 'FUR-FU-10003981', 'FUR-FU-10000023', 'FUR-FU-10000023', 'FUR-FU-10000023', 'FUR-FU-10000023', 'FUR-FU-10000023', 'FUR-FU-10003981']"
4,KI Adjustable-Height Table,"['FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10004086', 'FUR-TA-10004086', 'FUR-TA-10004086', 'FUR-TA-10004086', 'FUR-TA-10001039', 'FUR-TA-10004086', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10001039', 'FUR-TA-10004086', 'FUR-TA-10004086']"
5,Okidata C610n Printer,"['TEC-MA-10003230', 'TEC-MA-10001856']"
6,"Peel & Seel Recycled Catalog Envelopes, Brown","['OFF-EN-10003448', 'OFF-EN-10002592', 'OFF-EN-10003448', 'OFF-EN-10002592', 'OFF-EN-10002592', 'OFF-EN-10002592']"
7,Prang Drawing Pencil Set,"['OFF-AR-10003251', 'OFF-AR-10002766', 'OFF-AR-10003251', 'OFF-AR-10002766', 'OFF-AR-10002766', 'OFF-AR-10003251', 'OFF-AR-10002766', 'OFF-AR-10003251', 'OFF-AR-10003251', 'OFF-AR-10003251', 'OFF-AR-10003251']"
8,Staple envelope,"['OFF-EN-10003286', 'OFF-EN-10001990', 'OFF-EN-10004773', 'OFF-EN-10004773', 'OFF-EN-10003286', 'OFF-EN-10002621', 'OFF-EN-10001539', 'OFF-EN-10003286', 'OFF-EN-10003134', 'OFF-EN-10001099', 'OFF-EN-10001539', 'OFF-EN-10003286', 'OFF-EN-10001990', 'OFF-EN-10002621', 'OFF-EN-10001415', 'OFF-EN-10001990', 'OFF-EN-10001099', 'OFF-EN-10001539', 'OFF-EN-10001099', 'OFF-EN-10003134', 'OFF-EN-10002621', 'OFF-EN-10004773', 'OFF-EN-10001539', 'OFF-EN-10003286', 'OFF-EN-10002621', 'OFF-EN-10002621', 'OFF-EN-10001415', 'OFF-EN-10001415', 'OFF-EN-10001099', 'OFF-EN-10001028', 'OFF-EN-10001990', 'OFF-EN-10003286', 'OFF-EN-10001415', 'OFF-EN-10003134', 'OFF-EN-10001028', 'OFF-EN-10003134', 'OFF-EN-10001099', 'OFF-EN-10001415', 'OFF-EN-10003134', 'OFF-EN-10001539', 'OFF-EN-10003286', 'OFF-EN-10001990', 'OFF-EN-10003134', 'OFF-EN-10004773', 'OFF-EN-10001539', 'OFF-EN-10001539', 'OFF-EN-10003134', 'OFF-EN-10001990']"
9,Staple holder,"['OFF-AP-10004249', 'OFF-AP-10002222', 'OFF-AP-10002222', 'OFF-AP-10001366', 'OFF-AP-10004249', 'OFF-AP-10004249', 'OFF-AP-10004249', 'OFF-AP-10001366', 'OFF-AP-10004249', 'OFF-AP-10002222', 'OFF-AP-10002222', 'OFF-AP-10001366', 'OFF-AP-10001366']"
